Context,Questions,Correct Answers
Genetic causes of neonatal and infantile hypercalcaemia,"Neonatal severe hyperparathyroidism (NSHPT) and familial hypocalciuric hypercalcaemia (FHH) are: a) Both caused by inactivating mutations in the CaSR gene only. b) NSHPT is caused by inactivating mutations in the CaSR only; FHH is caused by inactivating mutations in the CaSR, Gα11 and AP2σ genes. c) NSHPT is caused by inactivating mutations in the CaSR, Gα11 and AP2σ genes; FHH is caused by inactivating mutations in the CaSR gene only. d) Both are caused by inactivating mutations in the CaSR, Gα11 and AP2σ genes.",b
Genetic causes of neonatal and infantile hypercalcaemia,"Jansen’s metaphyseal chondrodysplasia is characterised by: a) Short-limbed short stature, deformed, under-mineralised bones, chronic hypercalcaemia and hypophosphaturia with elevated serum PTH levels and elevated serum markers of bone turnover. b) Short-limbed short stature, deformed, under-mineralised bones, chronic hypercalcaemia and hypophosphaturia with normal serum PTH levels and elevated serum markers of bone turnover. c) Short-limbed short stature, deformed, under-mineralised bones, transient hypercalcaemia and hyperphosphaturia with normal serum PTH levels and elevated serum markers of bone turnover. d) Short-limbed short stature, deformed, under-mineralised bones, chronic hypercalcaemia and hypophosphaturia with normal serum PTH levels and elevated serum markers of bone turnover.",d
Genetic causes of neonatal and infantile hypercalcaemia,"Idiopathic infantile hypercalcaemia (IIH) is caused by mutations in: a) The CYP27B1 gene, encoding 1α-hydroxylase, which converts 25-hydroxyvitamin D3 to active 1,25(OH)2D3. b) The CYP24A1 gene, encoding 24-hydroxylase, which inactivates 1,25(OH)2D3. c) The CYP2R1 gene, encoding 25-hydroxylase, which converts vitamin D to 25-hydroxyvitamin D3. d) The CYP24A1 and CYP27B1 genes. e) The CYP2R1, CYP24A1 and CYP27B1 genes.",b
Genetic causes of neonatal and infantile hypercalcaemia,"In Williams syndrome the reported frequency of hypercalcaemia is: a) >50%, is often symptomatic, may resolve within the first few years, but may recur during puberty. b) <50%, is often symptomatic, may resolve within the first few years, but may recur during puberty. c) <50%, is often asymptomatic, and always resolves within the first few years, with no recurrence. d) >50%, is often asymptomatic, and always resolves within the first few years, with no recurrence.",b
Genetic causes of neonatal and infantile hypercalcaemia,"Which of these causes of hypercalcaemia is characterised by poor feeding, rachitic deformities that can result in respiratory complications, persistent rickets, bony craniosynostosis and is associated with mutations in the ALPL gene: a) Jansen’s metaphyseal chondrodysplasia b) William’s syndrome c) Hypophosphatasia d) Blue diaper syndrome e) Subcutaneous fat necrosis of the newborn",c
Gutted constipation in children with chronic kidney disease and on dialysis,Factors contributing to constipation in children with CKD include:<br>a) Reduced fluid intake as kidney function deteriorates<br>b) Toileting behaviors<br>c) Reduction in physical activity<br>d) Medications used in the management of CKD<br>e) All of the above,e
Gutted constipation in children with chronic kidney disease and on dialysis,The understanding of gut dysbiosis is important in CKD because:<br>a) There is evidence that it directly leads to disease progression<br>b) Evidence suggests some increased cardiovascular risk<br>c) Dysregulation leads to worsening uremia<br>d) b and c<br>e) All of the above,e
Gutted constipation in children with chronic kidney disease and on dialysis,"Children on dialysis who are constipated, can have hyperkalemia. This can be due to:<br>a) CKD leads to an intracellular accumulation of potassium<br>b) Constipation reduces intestinal transit time, leading to increased potassium absorption<br>c) In healthy individuals up to 80% of potassium is excreted through the gastrointestinal tract<br>d) All laxatives contain potassium salts<br>e) All of the above",b
Gutted constipation in children with chronic kidney disease and on dialysis,Which of these laxatives has the highest sodium content?<br>a) Isotonic Polyethylene Glycol (PEG)<br>b) Ispaghula husk<br>c) Docusate sodium<br>d) Bisacodyl<br>e) Sodium picosulphate,a
Gutted constipation in children with chronic kidney disease and on dialysis,Children with CKD requiring pharmacological management of constipation:<br>a) Are more often on peritoneal dialysis than hemodialysis<br>b) Often require one agent for optimal management<br>c) Require care to be taken when prescribing multiple agents as they may contain sodium and potassium salts<br>d) Require large volumes of laxatives for optimal management<br>e) Require large volumes of fluid for optimal management,c
How to define and assess the clinically significant causes of hematuria in childhood,"What is the most common cause of macroscopic post-glomerular hematuria in childhood? a) IgA nephropathy b) Nutcracker syndrome, arteriovenous malformations c) Nephrolithiasis, hypercalciuria d) Bladder tumor",c
How to define and assess the clinically significant causes of hematuria in childhood,"What is the prognosis of IgA nephropathy in childhood? a) It usually leads to rapidly progressive glomerulonephritis b) It is commonly a benign condition, but a considerable percentage of patients will develop chronic kidney disease c) Is always a benign self-limiting condition d) Its prognosis depends on the number of acquired infections in childhood",b
How to define and assess the clinically significant causes of hematuria in childhood,When would you indicate a kidney biopsy in childhood in the process of evaluating hematuria? a) Hematuria cases with persisting acute kidney injury or chronic kidney injury with unknown origin b) In every case of nephrotic syndrome c) To verify Alport syndrome with a positive family background d) In every case of persisting microscopic hematuria,a
How to define and assess the clinically significant causes of hematuria in childhood,What is the cornerstone of radiological imaging in suspected childhood nephrolithiasis? a) Magnetic resonance imaging b) Low-dose computed tomography c) Ultrasound with the combination of cystoscopy d) Ultrasound,d
How to define and assess the clinically significant causes of hematuria in childhood,Which of the following statements is true for hematuria in childhood? a) Hematuria is a common finding in idiopathic nephrotic syndrome in childhood. b) Macroscopic hematuria found in Henoch-Schönlein purpura always has an origin of bladder hemorrhage. c) The combination of hematuria and proteinuria can be a sign of progressive kidney disease. d) Hematuria during urinary tract infection is a hallmark of glomerular damage.,c
How to take advantage of easily available biomarkers in patients with IgA nephropathy: IgA and C3 in serum and kidney biopsies,"1. IgA nephropathy: a. is the most common nephropathy in the world b. can lead to kidney failure in 20–40% of patients within 20 years c. is most prevalent in Asians, followed by Caucasians, and relatively rare in Africans d. kidney biopsy is the gold standard diagnostic method e. the diagnosis is made based on elevated serum IgA level","a, b, c, d"
How to take advantage of easily available biomarkers in patients with IgA nephropathy: IgA and C3 in serum and kidney biopsies,2. Clinical manifestations of IgA nephropathy include: a. erythrocyturia or hematuria b. proteinuria c. asymptomatic leukocyturia d. hypertension e. kidney failure,"a, b, d, e"
How to take advantage of easily available biomarkers in patients with IgA nephropathy: IgA and C3 in serum and kidney biopsies,3. Factors important in the pathogenesis of IgA nephropathy include: a. formation of oligoglycosylated IgA1 b. formation of anti-glycan antibodies c. genetic predisposition d. complement activation by the classical pathway e. complement activation by the alternative pathway,"a, b, c, e"
How to take advantage of easily available biomarkers in patients with IgA nephropathy: IgA and C3 in serum and kidney biopsies,4. Serum IgA level: a. may be elevated in about 50% of patients with IgA nephropathy b. has no prognostic significance c. indicates GDIgA1 d. is related to creatinine level e. is associated with lower proteinuria,"a, b"
